TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_TUTORIAL_GOLDSTORAGE,You also need a place to store all your precious gold!,Il nous faut également un endroit où stocker notre or si précieux !,"Du brauchst auch einen Ort, wo du dein kostbares Gold lagern kannst!","Además, ¡necesitas un lugar para almacenar el oro!",Ti serve anche un posto dove l´oro!,Je hebt een plek nodig om al dat waardevolle goud op te bergen!,Du trenger også et sted å lagre alt det verdifulle gullet!,Você também precisa de um lugar para armazenar todo seu precioso ouro!,Değerleri altınlarını saklayacak bir yere de ihtiyacın var!,ゴールドをすべて保管しておく場所が必要です。
TID_TUTORIAL_GOLD_STORAGE_1,We also need a safe place to store our gold reserves.,Il nous faut également un endroit sûr où stocker nos réserves d'or.,Außerdem brauchen wir einen sicheren Ort für unsere Goldreserven.,También necesitamos un lugar seguro para las reservas de oro.,"Ci serve anche un luogo sicuro, dove conservare le nostre riserve d´oro.",We hebben ook een veilige plek nodig om ons goud op te slaan.,Vi trenger også et trygt sted å lagre gullreserven vår.,Precisamos também de um lugar seguro para armazenar nossas reservas de ouro.,Altın kaynaklarımızı saklamak için güvenli bir yer de gerekiyor.,ゴールドを保管できる安全な場所が必要です。
TID_TUTORIAL_GOLD_STORAGE_2,Build a Gold Storage so we can stockpile gold!,Construisez une réserve d'or pour augmenter notre capacité de stockage !,"Baue ein Goldlager, damit wir das Gold horten können!",¡Construye un almacén de oro para poder guardarlo!,Costruisci un Deposito per accumulare l´oro.,Bouw een gouddepot zodat we het goud veilig op kunnen bergen!,Bygg et gullager så vi kan oppbevare mer gull!,Construa uma Armazenagem de Ouro para estocarmos ouro!,Altın stoklayabilmemiz için bir Altın Deposu inşa et!,ゴールドを貯めておくゴールド貯蔵庫を建てましょう！
TID_TUTORIAL_TOWN_HALL_1,"With the gold we took from the goblins, we can afford to upgrade the Town Hall.","Grâce à l'or que nous avons pris aux gobelins, nous pouvons maintenant améliorer l'hôtel de ville.","Mit dem Gold, das wir den Kobolden abgenommen haben, können wir es uns leisten, das Rathaus zu verbessern.","Con el oro que le quitamos a los duendes, podemos permitirnos mejorar el ayuntamiento.","Con l´oro che abbiamo preso ai Goblin, possiamo migliorare il municipio.","Met het goud dat we van de gobelins af hebben gepakt, kunnen we het stadhuis upgraden.","Med gullet vi tok fra nissene, har vi råd til å oppgradere rådhuset.","Com o ouro que pegamos dos goblins, podemos atualizar o Centro da Vila.",Goblinlerden aldığımız altında şimdi Köy Binamızı yükseltebiliriz.,ゴブリンたちから奪ったゴールドで、タウンホールをアップグレードできます。
TID_TUTORIAL_TOWN_HALL_2,Good job! We can now build new buildings thanks to the Town Hall upgrade.,"Beau travail ! Grâce à l'amélioration de l'Hôtel de ville, nous pouvons désormais construire de nouveaux bâtiments.",Gute Arbeit! Dank der Rathaus-Verbesserung können wir jetzt neue Gebäude bauen.,¡Buen trabajo! Ahora podemos construir nuevos edificios gracias a la mejora del ayuntamiento.,Ottimo lavoro! Ora puoi costruire nuovi edifici grazie al Municipio migliorato.,Goed gedaan! Dankzij de upgrade van het stadhuis kunnen we nu nieuwe gebouwen neerzetten.,"Godt jobba! Nå kan vi bygge nye bygninger, takket være oppgraderingen av rådhuset.",Bom trabalho! Agora podemos construir novos edifícios graças à atualização do Centro da Vila.,İyi işti! Belediye Binasını yükseltmen sayesinde şimdi yeni binalar inşa edebilirsin.,お疲れさまでした！タウンホールをアップグレードしたおかげで、新たな建物を建てられるようになりました。
TID_TUTORIAL_TRAIN_1,Now let's train some troops!,Formons des troupes !,Und jetzt lass uns ein paar Truppen trainieren!,¡Preparemos a las tropas!,Adesso addestriamo delle truppe!,Train nu wat troepen!,La oss trene noen soldater!,Agora vamos treinar algumas tropas!,Şimdi biraz asker eğitelim!,さぁ、軍隊のトレーニングをしましょう！
TID_TUTORIAL_TRAIN_2,Tap the Barracks and choose Train Troops,Touchez la caserne puis Former des troupes,"Tippe die Kaserne an und wähle ,,Truppen trainieren\q",Toca el cuartel y selecciona \qEntrenar\q.,Tocca la Caserma e quindi seleziona Addestra truppe.,Tik op de kazerne en kies Troepen trainen,Trykk på brakkene og velg Tren soldater,Toque o Quartel e escolha Treinar Tropas,Kışlaya dokunun ve Asker Eğit'i seçin,バラックをタップして、トレーニングする軍隊を選びましょう。
TID_TUTORIAL_WORKER_1,"Wow, nice going! Now we need to get this village into fighting shape.",Ouah ! Super ! Il faut maintenant transformer ce village en machine de guerre.,"Wow, gut gemacht! Jetzt müssen wir dieses Dorf für den Kampf rüsten.","¡Vaya, bien hecho! Ahora preparemos la aldea para combatir.","Wow, bella partenza! Adesso dobbiamo preparare il villaggio per le battaglie.","Wauw, dat gaat lekker! Nu moeten we dit dorp gevechtsklaar zien te krijgen.",Jøye meg! Kule greier! Nå må vi få denne landsbyen i kampberedskap.,"Uau, maravilha! Agora precisamos colocar essa vila em forma para combate.","Vay, iyi iş! Şimdi bu köyü savaşabilir hale getirmemiz lazım.",上手です！この村を戦闘態勢にする必要があります。
TID_TUTORIAL_WORKER_2,Hiring a second builder will let you start two constructions simultaneously.,Embaucher un deuxième ouvrier vous permettra de construire deux choses à la fois.,"Indem du einen zweiten Bauarbeiter anheuerst, kannst du an zwei Gebäuden gleichzeitig arbeiten.","Si contratas a un segundo constructor, podrás empezar dos obras a la vez.",Assumendo un altro muratore potrai avviare due costruzioni contemporaneamente.,Neem een tweede bouwer aan om twee gebouwen tegelijkertijd te bouwen.,Hvis du leier en bygger til kan du starte to konstruksjoner samtidig.,A contratação de um segundo construtor permitirá iniciar duas construções simultaneamente.,İkinci bir inşaatçı tutarak aynı anda iki inşaata başlayabilirsin.,二人目のビルダーを雇えば、同時に2つの建物を建てることができます。
TID_UNABLE_TO_LOCATE_COUNTRY_FOR_SCORES,Unable to find local leaderboards for your location.,,,,,,,,,
TID_UNCLOK_FROM_LABORATORY,Unlock from Laboratory,Se débloque depuis le laboratoire,Von Labor freischalten,Desbloquear en laboratorio,Sblocca nel laboratorio,Ontgrendel in laboratorium,Åpne fra laboratorium,Desbloquear do Laboratório,Kilidi Laboratuvardan aç,研究所からロックを解除します
TID_UNITS_LEFT,<number> left,<number> restants,Noch <number>,Quedan <number>,<number> rimaste,<number> over,<number> igjen,<number> restante(s),<number> kaldı,残り<number>
TID_UNIT_STORAGE_CAPACITY,Troop capacity: <number>,Troupes maximum : <number>,Truppenkapazität: <number>,Capacidad de tropas: <number>,Capienza truppe: <number>,Troepcapaciteit: <number>,Soldatkapasitet: <number>,Capacidade da tropa: <number>,Asker kapasitesi: <number>,軍隊のキャパシティ：<number>
TID_UNIT_STORAGE_CAPACITY_ALL,Total troop capacity: <number>,Capacité totale de troupe : <number>,Gesamte Truppenkapazität: <number>,Capacidad total de tropas: <number>,Capacità totale delle truppe: <number>,Totale troepencapaciteit: <number>,Total troppekapasitet: <number>,Capacidade total de tropas: <number>,Toplam birlik kapasitesi: <number>,軍隊のトータルキャパシティ：<number>
TID_UNLOCK_BARRACK_TROOP,Unlocks Warrior:,Débloque un soldat :,Schaltet Krieger frei:,Desbloquea guerrero:,Sblocca il guerriero:,Ontgrendelt krijger:,Åpner kriger:,Desbloqueia Guerreiro:,Savaşçı Kilidini Açar:,兵士のロックを解除します：
TID_UNLOCK_BUILDINGS,Unlocks Buildings:,Débloque les bâtiments :,Schaltet Gebäude frei:,Desbloquea edificios:,Sblocca gli edifici:,Ontgrendelt gebouwen:,Åpner bygninger:,Desbloqueia Edifícios:,Binaların Kilidini Açar:,ロック解除した建物：
TID_UNLOCK_SPELL_FORGE_SPELL,Unlocks spell:,Débloque le sort :,Schaltet folgenden Zauberspruch frei:,Desbloquea hechizo:,Sblocca incantesimo:,Ontgrendelt spreuk:,Låser opp formel:,Desbloqueia o feitiço:,Açılacak büyü:,ロックが解除されていない呪文：
TID_UPDATE_TROOP_LEVEL,Upgrade to level <number>,Améliorer au niveau <number>,Verbessern auf Level <number>,Mejorar al nivel <number>.,Porta al livello <number>?,Upgraden naar level <number>,Oppgrader til nivå <number>,Atualização ao nível <number>,<number>. seviyeye yükselt,レベル<number>にアップグレードします
TID_UPDATING_CONTENT,Downloading content,Chargement du contenu,Inhalt wird heruntergeladen,Descargando contenido,Scaricamento contenuto...,Materiaal wordt gedownload,Laster ned innhold,Baixando conteúdo,İçerik indiriliyor,ダウンロード中です
TID_UPGRADE_FINISH_NOW,Finish Upgrade:,Terminer amélioration,Verbesserung beenden:,Finalizar mejora:,Completa miglioramento:,Upgrade voltooien:,Ferdigstilll oppgradering,Concluir atualização:,Yükseltmeyi Bitir:,アップグレード終了：
TID_UPGRADE_TH_TO_UNLOCK,Upgrade Town Hall to level <number> to unlock!,Améliorer l'hôtel de ville au niveau <number> pour débloquer !,Verbessere das Rathaus zum Freischalten auf Level <number>!,¡Actualiza el ayuntamiento al nivel <number> para desbloquear!,Porta il tuo Municipio al livello <number> per sbloccare questo elemento!,Upgrade het stadhuis naar level <number> om te ontgrendelen!,Oppgrader Rådhuset til nivå <number> for å låse opp!,Atualize o Centro da Vila para o nível <number> para desbloquear!,Kilidini açmak için Köy Binasını <number>. seviyeye yükselt!,タウンホールをレベル<number>にアップグレードして、ロックを解除しましょう！
TID_UPGRADE_TH_TO_UNLOCK_MORE,Upgrade Town Hall to level <number> to build more!,Améliorer l'hôtel de ville au niveau <number> pour construire davantage !,"Verbessere das Rathaus auf Level <number>, um mehr zu bauen!",¡Actualiza el ayuntamiento al nivel <number> para edificar más!,Porta il tuo Municipio al livello <number> per costruire di più!,Upgrade het stadhuis naar level <number> om meer te bouwen!,Oppgrader Rådhuset til nivå <number> for å bygge mer!,Atualize o Centro da Vila para o nível <number> para construir mais!,Daha fazlasını inşa etmek için Köy Binasını <number>. seviyeye yükselt!,タウンホールをレベル<number>にアップグレードして、もっと建設しましょう！
TID_UPGRADE_TIME,Upgrade time,Temps:,Verbesserungszeit,Tiempo mejora,Tempo miglioramento,Upgradetijd,Oppgraderingstid,Atualizar tempo,Yükseltme süresi,アップグレード時間
TID_UPGRADE_WINDOW_NOTE,Note!,Attention !,Achtung!,¡Atención!,Attenzione!,let op!,Obs!,Observe!,Not!,注意！
TID_VICTORY,Victory,Victoire,Sieg,Victoria,Vittoria,Gewonnen,Seier,Vitória,Zafer,勝利
TID_VIEW_ALLIANCE,View Clan,Voir clan,Clan betrachten,Ver clan,Visualizza clan,Clan bekijken,Vis klan,Ver clã,Klanı Görüntüle,クランを見る
TID_VIEW_HIGHSCORES,View the strongest Clans & Players around the world,Découvrez les clans et joueurs les plus forts du monde,Schau dir die stärksten Clans und Spieler auf der ganzen Welt an,Ver los mejores clanes y jugadores de todo el mundo.,Visualizza i clan e i giocatori più forti del mondo,Bekijk de sterkste clans en spelers ter wereld,Se de sterkeste klanene og spillerne verden rundt,Ver Clãs e jogadores mais fortes do mundo todo,Tüm dünyadaki en güçlü Klanları ve Oyuncuları görün,世界で一番強いのクランとプレイヤーを見る
TID_VISIT_BUTTON,Visit,Rendre visite,Besuchen,Visitar,Fai visita a,Bezoeken,Besøk,Visitar,Ziyaret et,訪問
TID_WAITING_FOR_COOLDOWN,Available:,Disponible :,Verfügbar:,Disponible:,Disponibile:,Beschikbaar:,Tilgjengelig:,Disponível:,Kullanılabilen:,利用可能：
TID_WALL_BREAKER,Wall Breaker,Casse-brique,Mauerbrecher,Rompemuros,Spaccamuro,Muurbreker,Veggbryter,Destruidor de Muros,Duvar Yıkıcı,ウォールブレーカー
TID_WALL_INFO,Walls are great for keeping your village safe and your enemies in the line of fire.,Les remparts protégeront votre village en gardant vos ennemis à portée de tir.,"Mauern sind gut geeignet, um dein Dorf zu sichern und deine Feinde in der Schussbahn zu halten",Los muros son ideales para mantener la aldea a salvo y a tus enemigos en la línea de fuego.,I muri sono perfetti per tenere al sicuro il tuo villaggio e i tuoi nemici sulla linea di fuoco.,Muren zijn geweldig om je dorp te beschermen en je vijanden in de vuurlinie te houden.,Vegger er knall for å sikre landsbyen og gjøre det lett å treffe fiendene.,Muros são excelentes para proteger sua vila e manter os seus inimigos na linha de fogo.,Duvarlar köyünün güvenliğini ve düşmanların atış menzilinde durmasını sağlar.,壁は、砲弾が飛び交う中でも敵から村を守り続けます。
TID_WHAT_YOU_GOT,You got:,Vous avez obtenu :,Du erhältst:,Has conseguido:,Hai:,Ontvangen,Du fikk:,Você tem:,Sahip olduğun:,獲得：
TID_WIZARD,Wizard,Sorcier,Magier,Mago,Stregone,Tovenaar,Sjaman,Mago,Sihirbaz,ウィザード
TID_WIZARD_TOWER_INFO,The Ultimate Arcane Defense! Tower Wizards cast powerful area effect spells that target both flying and ground troops.,L´ultime défense obscure ! Les Sorciers de la Tour invoquent de puissants sorts visant à la fois les troupes volantes et au sol.,Die ultimative arkane Verteidigung! Turmzauberer wirken sowohl mächtige Flächenzauber gegen Gegner in der Luft und am Boden.,El definitivo juego Arcade defensivo! Los magos de la torre poseen potentes hechizos que afectan tanto a enemigos aéreos como a terrestres.,La difesa arcana definitiva! Le Torri dello stregone lanciano potenti incantesimi ad area che colpiscono sia le truppe volanti che quelle di terra.,De ultieme magische verdediging! Torentovenaars gebruiken krachtige spreuken die zich op troepen in de lucht en op de grond richten.,"Det ultimate hemmelige forsvar! Tårnsjamaner kaster kraftige områdeformler som tar seg av alle soldater, både i lufta og på bakken.","A insuperável Defesa Arcana! Os Magos da Torre lançam feitiços de efeito de área poderosos, que podem alvejar tanto tropas voadoras como terrestres.","Nihai Gizemli Savunma! Kule Büyücüleri, hem uçan hem de yaya askerleri hedef alan kuvvetli bir alan büyüsü yapmaktadır.",究極に複雑な防御！ウィザードタワーは、飛行する敵と地上の敵の両方をターゲットにできる強力な呪文を放ちます。
TID_WORKER_BUILDING,Builder's Hut,Cabane d'ouvrier,Bauhütte,Choza de constructor,Capanna del muratore,Arbeidershut,Byggerhytte,Cabana do Construtor,İnşaatçı Kulübesi,ビルダーの小屋
TID_WORKER_INFO,"Nothing gets done around here without Builders! You can hire more builders to start multiple construction projects, or speed up their work by using green gems.","Vous n'arriverez à rien sans les ouvriers ! Vous pouvez recruter davantage d´ouvriers pour commencer plusieurs projets de construction, ou accélérer leur travail à l´aide de gemmes vertes.","Ohne Bauarbeiter geht hier gar nichts! Du kannst mehr Bauarbeiter einstellen, um mehrere Bauprojekte zu beginnen oder die Arbeit schneller voranzutreiben, indem du grüne Juwelen nutzt.","¡Nada se puede hacer sin constructores! Puedes contratar más constructores para empezar múltiples proyectos, o acelerar su trabajo usando gemas verdes.",Qui non si va avanti senza muratori! Puoi assumere più muratori per iniziare più costruzioni contemporaneamente o velocizzare il lavoro usando gemme verdi.,"Zonder bouwers komt hier niets van de grond! Je kunt meer bouwers aannemen om meerdere gebouwen tegelijk neer te zetten, of de bouw versnellen met groene edelstenen.",Det blir ikke gjort noe her uten byggere! Du kan leie flere byggere for å starte flere konstruksjonsprosjekter eller øke hastigheten på arbeidet med å bruke grønne smykker.,"Nada é feito por aqui sem construtores! Você pode contratar mais construtores para iniciar projetos de construção múltiplos, ou acelerar o seu trabalho usando gemas verdes.",İnşaatçılar olmadan burada hiçbir iş tamamlanmıyor! Çoklu inşaat projelerine başlamak için daha fazla inşaatçı işe alabilirsin ya da yeşil taşları kullanarak çalışmalarını hızlandırabilirsin.,ビルダーがいなければ何も作れません！たくさんのビルダーを雇って、同時に複数の建設を始めるか、グリーンジェムを使って作業速度を上げましょう。
